,date,speechnumber,speaker,origin_pty,speech_terms,neg_emo,pos_emo,meta_beratung,meta_beschlem,meta_bericht_,meta_fragstun,meta_befragun,meta_aktustnd,meta_regerklr,meta_antwort_,meta_wahl____,meta_eidleist,fctn_afd,fctn_b90,fctn_cxu,fctn_fdp,fctn_lnk,fctn_spd,govt
134,11/11/2009,117,Max Straubinger,cxu,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
135,11/11/2009,119,Heinrich L. Kolb,fdp,264,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
136,11/11/2009,120,Max Straubinger,cxu,90,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
137,11/11/2009,122,Max Straubinger,cxu,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
138,11/11/2009,123,Volker Beck,b90,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
139,11/11/2009,124,Max Straubinger,cxu,249,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
140,11/11/2009,126,Thomas de Maiziï¿½ï,cxu,1646,16,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
141,11/11/2009,128,Olaf Scholz,spd,1256,13,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
142,11/11/2009,130,Gisela Piltz,fdp,353,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
143,11/11/2009,132,Gisela Piltz,fdp,558,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
144,11/11/2009,134,Olaf Scholz,spd,34,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
145,11/11/2009,135,Gisela Piltz,fdp,329,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
146,11/11/2009,137,Jan Korte,lnk,714,8,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
147,11/11/2009,139,Wolfgang Wieland,b90,785,7,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
148,11/11/2009,141,Wolfgang Wieland,b90,19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
149,11/11/2009,142,Dieter Wiefelspï¿½ï,spd,42,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
150,11/11/2009,143,Wolfgang Wieland,b90,244,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
151,11/11/2009,145,Wolfgang Wieland,b90,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
152,11/11/2009,147,Wolfgang Wieland,b90,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
153,11/11/2009,148,Hartfrid Wolff,fdp,97,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
154,11/11/2009,149,Wolfgang Wieland,b90,566,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
155,11/11/2009,151,Hans-Peter Uhl,cxu,1057,14,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
156,11/11/2009,153,Dieter Wiefelspï¿½ï,spd,598,11,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
157,11/11/2009,155,Hartfrid Wolff,fdp,537,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
158,11/11/2009,157,Ulla Jelpke,lnk,442,14,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
159,11/11/2009,159,Reinhard Grindel,cxu,1085,2,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
160,11/11/2009,161,Dagmar Ziegler,spd,794,11,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
161,11/11/2009,163,Sabine Leutheusser-Schnarrenberger,fdp,947,8,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
